egyn.com	registered	15/11/22_17:18:32	   Updated Date: 08-jun-2014	   Creation Date: 21-mar-1999	   Expiration Date: 21-mar-2016
egyo.com	registered	15/11/22_17:18:32	   Updated Date: 23-oct-2015	   Creation Date: 19-oct-1998	   Expiration Date: 18-oct-2016
egyp.com	registered	15/11/22_17:18:33	   Updated Date: 03-feb-2015	   Creation Date: 28-nov-1997	   Expiration Date: 27-nov-2016
egyq.com	registered	15/11/22_17:18:34	   Updated Date: 30-apr-2015	   Creation Date: 16-mar-2013	   Expiration Date: 16-mar-2016
egyr.com	registered	15/11/22_17:18:34	   Updated Date: 11-jan-2015	   Creation Date: 28-apr-2006	   Expiration Date: 28-apr-2016
egys.com	registered	15/11/22_17:18:35	   Updated Date: 12-may-2015	   Creation Date: 23-may-2005	   Expiration Date: 23-may-2016
egyt.com	registered	15/11/22_17:18:35	   Updated Date: 16-jun-2015	   Creation Date: 16-nov-2001	   Expiration Date: 16-nov-2017
egyu.com	registered	15/11/22_17:18:36	   Updated Date: 18-nov-2015	   Creation Date: 25-dec-2008	   Expiration Date: 25-dec-2016
egyv.com	registered	15/11/22_17:18:36	   Updated Date: 08-sep-2015	   Creation Date: 08-sep-2009	   Expiration Date: 08-sep-2016
egyw.com	registered	15/11/22_17:18:37	   Updated Date: 22-jun-2015	   Creation Date: 19-jun-2004	   Expiration Date: 19-jun-2016
egyx.com	registered	15/11/22_17:18:37	   Updated Date: 07-oct-2015	   Creation Date: 02-oct-2004	   Expiration Date: 02-oct-2016
egyy.com	registered	15/11/22_17:18:38	   Updated Date: 19-nov-2015	   Creation Date: 14-jun-2008	   Expiration Date: 14-jun-2017
egyz.com	registered	15/11/22_17:18:38	   Updated Date: 31-mar-2015	   Creation Date: 10-apr-2006	   Expiration Date: 10-apr-2016
egza.com	registered	15/11/22_17:18:39	   Updated Date: 02-dec-2014	   Creation Date: 22-apr-2005	   Expiration Date: 22-apr-2017
egzb.com	registered	15/11/22_17:18:39	   Updated Date: 30-dec-2014	   Creation Date: 14-jul-2007	   Expiration Date: 14-jul-2017
egzc.com	registered	15/11/22_17:18:40	   Updated Date: 27-apr-2015	   Creation Date: 26-mar-2007	   Expiration Date: 26-mar-2016
egyk.com	registered	15/11/22_17:25:03	
egyl.com	registered	15/11/22_17:25:03	
egym.com	registered	15/11/22_17:25:04	
egyn.com	registered	15/11/22_17:25:05	
egyk.com	registered	15/11/22_17:25:12	   Updated Date: 06-aug-2015	   Creation Date: 06-aug-2004	   Expiration Date: 06-aug-2016
egyl.com	registered	15/11/22_17:25:13	   Updated Date: 24-aug-2015	   Creation Date: 22-sep-2005	   Expiration Date: 22-sep-2016
egym.com	registered	15/11/22_17:25:13	   Updated Date: 15-mar-2015	   Creation Date: 14-mar-2003	   Expiration Date: 14-mar-2016
egyn.com	registered	15/11/22_17:25:14	   Updated Date: 08-jun-2014	   Creation Date: 21-mar-1999	   Expiration Date: 21-mar-2016
egyo.com	registered	15/11/22_17:25:14	   Updated Date: 23-oct-2015	   Creation Date: 19-oct-1998	   Expiration Date: 18-oct-2016
